3	-	11455	-	1000000	-	1
5	-	10564	-	1000000	-	1
6	-	97	-	15000	-	0.938
8	-	62	-	1000000	-	0.995
8	-	96	-	1000000	-	1
8	-	182	-	1000000	-	1
8	-	186	-	15000	-	0.873
8	-	676	-	1000000	-	1
8	-	877	-	15000	-	1
8	-	1447	-	1000000	-	1
8	-	1914	-	1000000	-	1
8	-	2129	-	1000000	-	1
8	-	2233	-	1000000	-	1
8	-	2768	-	1000000	-	1
8	-	2970	-	1000000	-	1
8	-	3230	-	1000000	-	0.989
8	-	3265	-	1000000	-	1
8	-	3621	-	1000000	-	1
8	-	3660	-	1000000	-	1
8	-	4371	-	1000000	-	1
8	-	4595	-	350000	-	1
8	-	4864	-	100000	-	1
8	-	5796	-	1000000	-	1
8	-	5848	-	1000000	-	1
8	-	7112	-	1000000	-	1
8	-	9988	-	1000000	-	1
8	-	12395	-	1000000	-	1
8	-	15028	-	1000000	-	1
8	-	15662	-	1000000	-	1
8	-	16144	-	1000000	-	1
8	-	16383	-	1000000	-	1
9	-	184	-	1000000	-	1
9	-	279	-	1000000	-	1
9	-	757	-	1000000	-	1
9	-	1360	-	1000000	-	1
9	-	3642	-	1000000	-	1
9	-	4365	-	1000000	-	1
9	-	5941	-	1000000	-	1
9	-	7135	-	1000000	-	1
9	-	8108	-	1000000	-	1
9	-	8709	-	1000000	-	1
9	-	9022	-	1000000	-	1
9	-	10830	-	1000000	-	1
11	-	9350	-	1000000	-	1
11	-	10235	-	1000000	-	1
12	-	64	-	350000	-	0.919
12	-	592	-	300000	-	1
12	-	1455	-	1000000	-	1
12	-	10410	-	1000000	-	1
12	-	13812	-	1000000	-	1
13	-	141	-	15000	-	0.713
13	-	634	-	1550000	-	1
13	-	919	-	1000000	-	1
13	-	1018	-	15000	-	1
13	-	1223	-	1000000	-	1
13	-	13725	-	1000000	-	1
14	-	11	-	1000000	-	1
16	-	959	-	40000	-	1
18	-	7	-	40000	-	1
18	-	4463	-	1000000	-	1
20	-	7272	-	1000000	-	1
24	-	833	-	1000000	-	1
24	-	4736	-	15000	-	1
24	-	13272	-	1000000	-	1
24	-	13302	-	1000000	-	1
25	-	8	-	1000000	-	1
25	-	249	-	1000000	-	1
25	-	283	-	1000000	-	1
25	-	365	-	1000000	-	1
25	-	505	-	1000000	-	1
25	-	571	-	1000000	-	1
25	-	765	-	1000000	-	1
25	-	804	-	1000000	-	1
25	-	2248	-	1000000	-	1
25	-	2497	-	1000000	-	1
25	-	2679	-	1000000	-	1
25	-	8937	-	1000000	-	1
25	-	9421	-	1000000	-	1
25	-	9430	-	1000000	-	1
27	-	2092	-	40000	-	1
30	-	33	-	40000	-	0.999
33	-	371	-	40000	-	1
35	-	23	-	40000	-	1
35	-	217	-	15000	-	1
35	-	1607	-	15000	-	0.713
36	-	524	-	40000	-	1
38	-	8213	-	1000000	-	1
39	-	90	-	1000000	-	1
41	-	8	-	1000000	-	1
42	-	282	-	300000	-	0.919
42	-	474	-	1000000	-	1
42	-	496	-	300000	-	1
42	-	654	-	10000	-	0.877
42	-	802	-	1000000	-	1
42	-	923	-	1000000	-	1
42	-	952	-	1000000	-	1
42	-	1650	-	1000000	-	1
42	-	2951	-	384000	-	1
42	-	3146	-	1000000	-	1
42	-	4844	-	1000000	-	1
42	-	5423	-	1000000	-	1
42	-	5777	-	1000000	-	1
42	-	5779	-	1000000	-	1
42	-	6016	-	1000000	-	1
42	-	6050	-	1000000	-	1
42	-	7713	-	1000000	-	1
42	-	8111	-	1000000	-	1
42	-	9348	-	384000	-	1
42	-	9438	-	1000000	-	1
42	-	10162	-	1000000	-	1
42	-	10190	-	1000000	-	1
42	-	10382	-	1000000	-	1
42	-	11551	-	1000000	-	1
42	-	12445	-	1000000	-	1
42	-	14741	-	1000000	-	1
42	-	15111	-	1000000	-	1
42	-	15340	-	1000000	-	1
42	-	15719	-	10000	-	1
42	-	16049	-	1000000	-	1
42	-	16760	-	1000000	-	1
44	-	9	-	1000000	-	0.991
45	-	16691	-	1000000	-	1
50	-	1616	-	40000	-	1
52	-	256	-	1000000	-	1
52	-	713	-	1000000	-	1
52	-	1455	-	1000000	-	1
52	-	2624	-	1000000	-	1
52	-	6738	-	300000	-	1
52	-	13936	-	1000000	-	1
53	-	671	-	40000	-	1
54	-	9661	-	1000000	-	1
55	-	7984	-	1000000	-	1
56	-	9659	-	1000000	-	1
57	-	1122	-	40000	-	0.898
57	-	9660	-	1000000	-	1
58	-	42	-	10000	-	1
61	-	42	-	10000	-	1
64	-	94	-	1000000	-	1
64	-	109	-	1550000	-	1
64	-	461	-	1000000	-	1
64	-	918	-	1000000	-	1
64	-	1218	-	1000000	-	1
64	-	1375	-	40000	-	1
64	-	1754	-	1000000	-	1
64	-	3065	-	1000000	-	1
64	-	3065	-	1000000	-	1
64	-	11276	-	1000000	-	1
65	-	42	-	10000	-	1
68	-	9	-	100000	-	1
68	-	432	-	15000	-	1
69	-	8	-	1000000	-	1
70	-	2837	-	15000	-	0.858
70	-	3801	-	15000	-	0.79
72	-	359	-	1000000	-	1
72	-	1749	-	1000000	-	1
72	-	2333	-	1000000	-	1
72	-	6370	-	1000000	-	1
72	-	6372	-	1000000	-	1
72	-	6466	-	1000000	-	1
72	-	7941	-	1000000	-	1
72	-	9445	-	1000000	-	1
72	-	9465	-	1000000	-	1
72	-	9508	-	1000000	-	1
72	-	13265	-	1000000	-	1
72	-	14326	-	1000000	-	1
72	-	14327	-	1000000	-	1
72	-	14575	-	1000000	-	1
72	-	14666	-	1000000	-	1
73	-	8	-	1000000	-	1
73	-	9	-	100000	-	1
73	-	60	-	40000	-	1
73	-	82	-	300000	-	1
73	-	357	-	700000	-	1
73	-	493	-	1000000	-	1
73	-	941	-	100000	-	1
73	-	1523	-	1000000	-	1
73	-	2066	-	1000000	-	1
73	-	3047	-	1000000	-	1
73	-	3993	-	1000000	-	1
73	-	5353	-	1000000	-	1
73	-	7251	-	1000000	-	1
73	-	7342	-	1000000	-	1
73	-	7380	-	1000000	-	1
73	-	9093	-	1000000	-	1
73	-	12510	-	1000000	-	1
73	-	14552	-	1000000	-	1
74	-	7984	-	1000000	-	1
77	-	276	-	1000000	-	1
78	-	156	-	1000000	-	1
79	-	16691	-	1000000	-	1
80	-	941	-	15000	-	0.81
82	-	348	-	1000000	-	1
82	-	454	-	1000000	-	1
82	-	471	-	1000000	-	1
82	-	561	-	1000000	-	1
82	-	668	-	1000000	-	1
82	-	720	-	1000000	-	1
82	-	783	-	1000000	-	1
82	-	913	-	350000	-	1
82	-	1035	-	1000000	-	1
82	-	1226	-	1000000	-	1
82	-	1254	-	15000	-	0.889
82	-	1671	-	1000000	-	1
82	-	2926	-	1000000	-	0.908
82	-	3293	-	1000000	-	1
82	-	3412	-	1000000	-	1
82	-	3497	-	1000000	-	1
82	-	3903	-	300000	-	1
82	-	5555	-	1000000	-	1
82	-	5677	-	1000000	-	1
82	-	5804	-	1000000	-	1
82	-	6292	-	1000000	-	1
82	-	6740	-	1000000	-	1
82	-	9191	-	1000000	-	1
82	-	10572	-	1000000	-	1
82	-	12431	-	40000	-	1
82	-	13838	-	1000000	-	1
82	-	13840	-	1000000	-	1
82	-	13888	-	1000000	-	1
82	-	14112	-	1000000	-	1
83	-	82	-	1000000	-	1
83	-	599	-	1000000	-	1
83	-	1192	-	1000000	-	1
83	-	1618	-	1000000	-	1
83	-	2873	-	1000000	-	1
83	-	5137	-	1000000	-	1
83	-	6823	-	1000000	-	1
83	-	10650	-	1000000	-	1
83	-	10680	-	1000000	-	1
83	-	12860	-	1000000	-	1
83	-	14797	-	1000000	-	1
84	-	82	-	15000	-	1
87	-	9430	-	1000000	-	1
90	-	481	-	1000000	-	1
90	-	9265	-	1000000	-	1
91	-	132	-	1000000	-	1
91	-	195	-	1000000	-	1
91	-	353	-	1000000	-	1
91	-	356	-	1000000	-	0.992
91	-	476	-	15000	-	0.937
91	-	476	-	1000000	-	1
91	-	7632	-	1000000	-	1
91	-	11203	-	1000000	-	1
93	-	11455	-	1000000	-	1
94	-	1725	-	1000000	-	1
95	-	264	-	1000000	-	1
96	-	636	-	10000	-	1
96	-	4432	-	1000000	-	1
96	-	5765	-	1000000	-	1
96	-	6368	-	1000000	-	1
96	-	7696	-	1000000	-	1
96	-	12328	-	1000000	-	1
98	-	83	-	1000000	-	1
100	-	181	-	40000	-	1
100	-	246	-	10000	-	0.89
100	-	437	-	1000000	-	1
100	-	565	-	10000	-	1
100	-	4330	-	1000000	-	1
100	-	7634	-	1000000	-	1
100	-	11851	-	1000000	-	1
100	-	12262	-	1000000	-	1
100	-	13658	-	1000000	-	1
104	-	2771	-	1000000	-	1
104	-	3138	-	1000000	-	1
104	-	4827	-	1000000	-	1
104	-	9082	-	1000000	-	1
105	-	913	-	1000000	-	1
106	-	209	-	40000	-	1
107	-	12243	-	1000000	-	1
109	-	3323	-	1000000	-	1
109	-	8785	-	1000000	-	1
110	-	42	-	1000000	-	1
112	-	42	-	1000000	-	1
113	-	42	-	10000	-	1
117	-	42	-	10000	-	1
120	-	2764	-	1000000	-	1
121	-	871	-	40000	-	0.796
121	-	7101	-	40000	-	0.938
125	-	3262	-	40000	-	0.715
126	-	42	-	1000000	-	1
131	-	526	-	1000000	-	1
134	-	714	-	40000	-	1
134	-	3296	-	1000000	-	1
134	-	4198	-	40000	-	1
134	-	5388	-	1000000	-	1
134	-	8960	-	1000000	-	1
134	-	12363	-	1000000	-	1
134	-	14622	-	1000000	-	1
135	-	1205	-	1000000	-	1
136	-	277	-	15000	-	1
136	-	277	-	1000000	-	1
136	-	622	-	1000000	-	1
136	-	8003	-	1000000	-	1
138	-	276	-	1000000	-	1
139	-	276	-	1000000	-	1
140	-	258	-	15000	-	1
156	-	73	-	1000000	-	1
156	-	198	-	1000000	-	1
156	-	311	-	1000000	-	1
156	-	1550	-	1000000	-	1
156	-	2755	-	1000000	-	1
156	-	3067	-	1000000	-	1
156	-	3182	-	1000000	-	1
156	-	3201	-	1000000	-	1
156	-	4943	-	1000000	-	1
156	-	5165	-	1000000	-	1
156	-	5527	-	1000000	-	1
156	-	5741	-	1000000	-	1
